Id,Prediction
1,7
2,5
3,5
4,7
5,7
6,7
7,7
8,7
9,7
10,7
11,7
12,7
13,7
14,7
15,7
16,7
17,4
18,7
19,2
20,4
21,7
22,4
23,7
24,7
25,7
26,7
27,4
28,7
29,4
30,7
31,4
32,4
33,4
34,2
35,1
36,7
37,2
38,1
39,1
40,2
41,2
42,2
43,2
44,2
45,7
46,1
47,1
48,2
49,6
50,4
51,7
52,6
53,5
54,7
55,4
56,5
57,7
58,1
59,7
60,5
61,7
62,3
63,5
64,3
65,4
66,7
67,6
68,7
69,7
70,7
71,7
72,7
73,5
74,7
75,7
76,4
77,7
78,5
79,7
80,1
81,2
82,7
83,4
84,4
85,2
86,7
87,4
88,2
89,2
90,3
91,5
92,4
93,4
94,4
95,7
96,7
97,4
98,4
99,4
100,5
101,5
102,5
103,2
104,6
105,2
106,3
107,3
108,3
109,5
110,5
111,5
112,1
113,2
114,4
115,7
116,3
117,5
118,2
119,1
120,2
121,4
122,4
123,4
124,5
125,2
126,1
127,4
128,4
129,2
130,5
131,2
132,1
133,1
134,4
135,7
136,5
137,2
138,2
139,2
140,4
141,7
142,5
143,5
144,2
145,1
146,2
147,4
148,7
149,5
150,5
151,2
152,2
153,2
154,4
155,3
156,5
157,2
158,2
159,4
160,7
161,4
162,5
163,2
164,1
165,1
166,3
167,7
168,5
169,5
170,4
171,1
172,2
173,4
174,7
175,1
176,5
177,2
178,1
179,2
180,4
181,7
182,2
183,5
184,2
185,5
186,2
187,4
188,5
189,5
190,1
191,2
192,4
193,7
194,6
195,2
196,1
197,2
198,4
199,7
200,5
201,5
202,2
203,2
204,2
205,4
206,7
207,5
208,5
209,2
210,2
211,2
212,4
213,7
214,5
215,5
216,4
217,4
218,4
219,5
220,2
221,1
222,4
223,7
224,5
225,5
226,5
227,2
228,4
229,5
230,2
231,5
232,1
233,4
234,4
235,5
236,2
237,7
238,1
239,4
240,5
241,2
242,1
243,5
244,1
245,4
246,3
247,2
248,2
249,7
250,2
251,4
252,2
253,1
254,1
255,5
256,7
257,7
258,7
259,7
260,7
261,7
262,7
263,7
264,3
265,2
266,1
267,7
268,1
269,2
270,2
271,5
272,7
273,5
274,5
275,5
276,4
277,4
278,2
279,4
280,4
281,4
282,4
283,4
284,4
285,4
286,4
287,2
288,7
289,7
290,6
291,6
292,7
293,7
294,7
295,5
296,5
297,3
298,5
299,6
300,5
301,5
302,5
303,5
304,5
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,4
315,2
316,7
317,7
318,7
319,7
320,7
321,7
322,7
323,7
324,4
325,7
326,7
327,7
328,2
329,3
330,2
331,2
332,2
333,5
334,7
335,2
336,3
337,2
338,2
339,5
340,2
341,2
342,3
343,2
344,5
345,4
346,3
347,2
348,4
349,4
350,4
351,4
352,4
353,2
354,4
355,2
356,4
357,4
358,4
359,4
360,4
361,4
362,4
363,7
364,7
365,7
366,7
367,3
368,7
369,7
370,7
371,4
372,7
373,7
374,7
375,5
376,5
377,3
378,5
379,6
380,1
381,4
382,7
383,2
384,5
385,3
386,5
387,2
388,5
389,6
390,1
391,3
392,5
393,4
394,5
395,2
396,7
397,5
398,4
399,7
400,7
401,5
402,2
403,4
404,2
405,7
406,7
407,5
408,2
409,2
410,4
411,4
412,4
413,5
414,7
415,4
416,2
417,7
418,2
419,2
420,6
421,5
422,6
423,2
424,5
425,1
426,1
427,4
428,7
429,4
430,7
431,4
432,7
433,4
434,7
435,7
436,4
437,7
438,4
439,7
440,4
441,7
442,4
443,7
444,4
445,7
446,4
447,7
448,4
449,7
450,4
451,7
452,7
453,4
454,7
455,7
456,7
457,7
458,4
459,7
460,7
461,7
462,6
463,7
464,7
465,7
466,4
467,7
468,5
469,7
470,6
471,4
472,4
473,7
474,7
475,7
476,1
477,7
478,7
479,7
480,7
481,7
482,5
483,7
484,5
485,7
486,7
487,7
488,3
489,7
490,4
491,7
492,7
493,7
494,6
495,7
496,7
497,7
498,5
499,7
500,4
501,4
502,7
503,2
504,4
505,7
506,7
507,7
508,4
509,7
510,4
511,7
512,7
513,7
514,7
515,7
516,4
517,7
518,7
519,7
520,4
521,7
522,7
523,7
524,7
525,4
526,7
527,7
528,7
529,7
530,4
531,4
532,7
533,4
534,7
535,4
536,7
537,4
538,7
539,4
540,7
541,4
542,7
543,4
544,7
545,4
546,7
547,4
548,7
549,4
550,7
551,4
552,7
553,4
554,5
555,5
556,4
557,2
558,1
559,7
560,3
561,5
562,7
563,6
564,3
565,7
566,6
567,4
568,5
569,7
570,5
571,5
572,7
573,1
574,1
575,1
576,2
577,2
578,2
579,2
580,7
581,7
582,1
583,2
584,5
585,2
586,2
587,7
588,4
589,7
590,4
591,5
592,7
593,7
594,1
595,1
596,7
597,4
598,5
599,5
600,5
601,5
602,7
603,3
604,1
605,7
606,5
607,7
608,3
609,2
610,5
611,7
612,5
613,7
614,7
615,1
616,5
617,4
618,7
619,4
620,7
621,7
622,7
623,2
624,5
625,5
626,7
627,2
628,7
629,4
630,5
631,6
632,5
633,6
634,2
635,7
636,5
637,4
638,5
639,2
